Index,ID,Name,Type
109,MG_108_MONOMER,"Ser/Thr protein phosphatase 2C, putative",nascent
110,MG_109_MONOMER,"serine/threonine protein kinase, putative",nascent
111,MG_110_MONOMER,ribosome small subunit-dependent GTPase A,nascent
112,MG_111_MONOMER,glucose-6-phosphate isomerase,nascent
113,MG_112_MONOMER,ribulose-phosphate 3-epimerase,nascent
114,MG_113_MONOMER,asparaginyl-tRNA synthetase,nascent
115,MG_114_MONOMER,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,nascent
116,MG_115_MONOMER,competence/damage-inducible protein CinA domain protein,nascent
117,MG_116_MONOMER,,nascent
118,MG_117_MONOMER,,nascent
119,MG_118_MONOMER,UDP-glucose 4-epimerase,nascent
120,MG_119_MONOMER,"Monosaccharide (riboside/galactoside) ABC transporter, ATP-binding protein",nascent
121,MG_120_MONOMER,"Monosaccharide (riboside/galactoside) ABC transporter, permease protein",nascent
122,MG_121_MONOMER,"Monosaccharide (riboside/galactoside) ABC transporter, permease protein",nascent
123,MG_122_MONOMER,DNA topoisomerase I,nascent
124,MG_123_MONOMER,arginine deaminasse,nascent
125,MG_124_MONOMER,thioredoxin,nascent
126,MG_125_MONOMER,"Cof-like hydrolase, putative",nascent
127,MG_126_MONOMER,tryptophanyl-tRNA synthetase,nascent
128,MG_127_MONOMER,Spx subfamily protein,nascent
129,MG_128_MONOMER,"inorganic polyphosphate/ATP-NAD kinase, probable",nascent
130,MG_129_MONOMER,Putative phosphotransferase enzyme glucose-specific IIB component,nascent
131,MG_130_MONOMER,,nascent
132,MG_131_MONOMER,hypothetical protein,nascent
133,MG_132_MONOMER,purine nucleoside phosphoramidase,nascent
134,MG_133_MONOMER,"membrane protein, putative",nascent
135,MG_134_MONOMER,,nascent
136,MG_135_MONOMER,"membrane protein, putative",nascent
137,MG_136_MONOMER,lysyl-tRNA synthetase,nascent
138,MG_137_MONOMER,UDP-galactopyranose mutase,nascent
139,MG_138_MONOMER,Translation elongation factor 4,nascent
140,MG_139_MONOMER,ribonuclease J,nascent
141,MG_140_MONOMER,putative ATP-dependent helicase,nascent
142,MG_141_MONOMER,transcription termination factor NusA,nascent
143,MG_477_MONOMER,,nascent
144,MG_142_MONOMER,translation initiation factor IF-2,nascent
145,MG_143_MONOMER,ribosome-binding factor A,nascent
146,MG_144_MONOMER,,nascent
147,MG_145_MONOMER,riboflavin biosynthesis protein RibF,nascent
148,MG_146_MONOMER,UPF0053 protein,nascent
149,MG_147_MONOMER,"membrane protein, putative",nascent
150,MG_148_MONOMER,,nascent
151,MG_149_MONOMER,"lipoprotein, putative",nascent
152,MG_478_MONOMER,,nascent
153,MG_150_MONOMER,ribosomal protein S10,nascent
154,MG_151_MONOMER,ribosomal protein L3,nascent
155,MG_152_MONOMER,ribosomal protein L4/L1 family,nascent
156,MG_153_MONOMER,ribosomal protein L23,nascent
157,MG_154_MONOMER,ribosomal protein L2,nascent
158,MG_155_MONOMER,ribosomal protein S19,nascent
159,MG_156_MONOMER,ribosomal protein L22,nascent
160,MG_157_MONOMER,ribosomal protein S3,nascent
161,MG_158_MONOMER,ribosomal protein L16,nascent
162,MG_159_MONOMER,ribosomal protein L29,nascent
163,MG_160_MONOMER,ribosomal protein S17,nascent
164,MG_161_MONOMER,ribosomal protein L14,nascent
165,MG_162_MONOMER,ribosomal protein L24,nascent
166,MG_163_MONOMER,ribosomal protein L5,nascent
167,MG_164_MONOMER,ribosomal protein S14,nascent
168,MG_165_MONOMER,ribosomal protein S8,nascent
169,MG_166_MONOMER,ribosomal protein L6,nascent
170,MG_167_MONOMER,ribosomal protein L18,nascent
171,MG_168_MONOMER,ribosomal protein S5,nascent
172,MG_169_MONOMER,ribosomal protein L15,nascent
173,MG_170_MONOMER,"preprotein translocase, SecY subunit",nascent
174,MG_171_MONOMER,adenylate kinase,nascent
175,MG_172_MONOMER,"methionine aminopeptidase, type I",nascent
176,MG_173_MONOMER,translation initiation factor IF-1,nascent
177,MG_174_MONOMER,ribosomal protein L36,nascent
178,MG_175_MONOMER,ribosomal protein S13,nascent
179,MG_176_MONOMER,,nascent
180,MG_177_MONOMER,"DNA-directed RNA polymerase, alpha subunit",nascent
181,MG_178_MONOMER,ribosomal protein L17,nascent
182,MG_179_MONOMER,"metal ion (cobalt) ABC transporter, ATP-binding protein, putative",nascent
183,MG_180_MONOMER,"metal ion (cobalt) ABC transporter, ATP-binding protein, putative",nascent
184,MG_181_MONOMER,"metal ion (cobalt) ABC transporter, permease protein",nascent
185,MG_182_MONOMER,tRNA pseudouridine synthase A,nascent
186,MG_183_MONOMER,oligoendopeptidase F,nascent
187,MG_184_MONOMER,adenine-specific DNA modification methylase,nascent
188,MG_185_MONOMER,"lipoprotein, putative",nascent
189,MG_186_MONOMER,"Oligosaccharide or polyol ABC transporter, substrate binding protein",nascent
190,MG_187_MONOMER,"Oligosaccharide or polyol ABC transporter, ATP-binding protein",nascent
191,MG_188_MONOMER,"Oligosaccharide or polyol ABC transporter, permease protein",nascent
192,MG_189_MONOMER,"Oligosaccharide or polyol ABC transporter, permease protein",nascent
193,MG_190_MONOMER,phosphoesterase,nascent
194,MG_191_MONOMER,MgPa adhesin,nascent
195,MG_192_MONOMER,P110 protein,nascent
196,MG_194_MONOMER,"phenylalanyl-tRNA synthetase, alpha subunit",nascent
197,MG_195_MONOMER,"phenylalanyl-tRNA synthetase, beta subunit",nascent
198,MG_196_MONOMER,translation initiation factor IF-3,nascent
199,MG_197_MONOMER,ribosomal protein L35,nascent
200,MG_198_MONOMER,ribosomal protein L20,nascent
201,MG_199_MONOMER,"ribonuclease HIII, putative, frameshift",nascent
202,MG_200_MONOMER,DnaJ domain protein,nascent
203,MG_201_MONOMER,co-chaperone GrpE,nascent
204,MG_202_MONOMER,,nascent
205,MG_203_MONOMER,"DNA topoisomerase IV, B subunit",nascent
206,MG_204_MONOMER,"DNA topoisomerase IV, A subunit",nascent
207,MG_205_MONOMER,"heat-inducible transcription repressor HrcA, putative",nascent
208,MG_206_MONOMER,"excinuclease ABC, C subunit",nascent
209,MG_207_MONOMER,Ser/Thr protein phosphatase 2A,nascent
210,MG_208_MONOMER,glycoprotease,nascent
211,MG_209_MONOMER,"23S rRNA pseudouridine synthase; U955, U2504, U2580",nascent
212,MG_210_MONOMER,"prolipoprotein signal peptidase, signal peptidase II",nascent
213,MG_480_MONOMER,,nascent
214,MG_481_MONOMER,30S ribosomal protein S21,nascent
215,MG_211_MONOMER,,nascent
216,MG_482_MONOMER,holo-(acyl-carrier-protein) synthase,nascent
217,MG_212_MONOMER,"1-acyl-sn-glycerol-3-phosphate acyltransferase, putative",nascent
218,MG_213_MONOMER,segregation and condensation protein A,nascent
219,MG_214_MONOMER,segregation and condensation protein B,nascent
220,MG_215_MONOMER,6-phosphofructokinase,nascent
221,MG_216_MONOMER,pyruvate kinase,nascent
222,MG_217_MONOMER,P65 adhesin,nascent
223,MG_218_MONOMER,high molecular weight cytadherence accessory protein 2,nascent
224,MG_491_MONOMER,,nascent
225,MG_219_MONOMER,,nascent
226,MG_220_MONOMER,,nascent
227,MG_221_MONOMER,mraZ protein,nascent
228,MG_222_MONOMER,S-adenosyl-methyltransferase MraW,nascent
229,MG_223_MONOMER,,nascent
230,MG_224_MONOMER,cell division protein FtsZ,nascent
231,MG_225_MONOMER,amino acid-polyamine-organocation (APC) permease,nascent
232,MG_226_MONOMER,amino acid-polyamine-organocation (APC) permease,nascent
233,MG_227_MONOMER,thymidylate synthase,nascent
234,MG_228_MONOMER,dihydrofolate reductase,nascent
235,MG_229_MONOMER,"ribonucleoside-diphosphate reductase, beta chain",nascent
236,MG_230_MONOMER,ribonucleotide reductase stimulatory protein,nascent
237,MG_231_MONOMER,"ribonucleoside-diphosphate reductase, alpha chain",nascent
238,MG_232_MONOMER,ribosomal protein L21,nascent
239,MG_233_MONOMER,,nascent
240,MG_234_MONOMER,ribosomal protein L27,nascent
241,MG_235_MONOMER,apurinic endonuclease,nascent
242,MG_236_MONOMER,ferric uptake repressor,nascent
243,MG_237_MONOMER,,nascent
244,MG_238_MONOMER,trigger factor,nascent
245,MG_239_MONOMER,ATP-dependent protease La,nascent
246,MG_240_MONOMER,nicotinamide-nucleotide adenylyltransferase/conserved hypothetical protein,nascent
247,MG_241_MONOMER,,nascent
248,MG_242_MONOMER,,nascent
249,MG_243_MONOMER,"conserved hypothetical protein, authentic frameshift",nascent
250,MG_244_MONOMER,3-5' helicase,nascent
251,MG_245_MONOMER,"5-formyltetrahydrofolate cyclo-ligase, putative",nascent
252,MG_246_MONOMER,Ser/Thr protein phosphatase 2A,nascent
253,MG_247_MONOMER,"membrane protein, putative",nascent
254,MG_248_MONOMER,,nascent
255,MG_249_MONOMER,RNA polymerase sigma factor RpoD,nascent
256,MG_250_MONOMER,DNA primase,nascent
257,MG_251_MONOMER,glycyl-tRNA synthetase,nascent
258,MG_252_MONOMER,23S rRNA methyltransferase; G2251,nascent
259,MG_253_MONOMER,cysteinyl-tRNA synthetase,nascent
260,MG_254_MONOMER,"DNA ligase, NAD-dependent",nascent
261,MG_255_MONOMER,,nascent
262,MG_494_MONOMER,,nascent
263,MG_256_MONOMER,,nascent
264,MG_257_MONOMER,ribosomal protein L31,nascent
265,MG_258_MONOMER,peptide chain release factor 1,nascent
266,MG_259_MONOMER,modification methylase,nascent
267,MG_260_MONOMER,"lipoprotein, putative",nascent
268,MG_261_MONOMER,"DNA polymerase III, alpha subunit",nascent
269,MG_262_MONOMER,"polI-like 5'-3' exonuclease, putative",nascent
270,MG_498_MONOMER,formamidopyrimidine-DNA glycosylase,nascent
271,MG_263_MONOMER,Cof-like hydrolase,nascent
272,MG_264_MONOMER,dephospho-CoA kinase,nascent
273,MG_265_MONOMER,sugar phosphatase,nascent
274,MG_266_MONOMER,leucyl-tRNA synthetase,nascent
275,MG_267_MONOMER,,nascent
276,MG_268_MONOMER,,nascent
277,MG_269_MONOMER,,nascent
278,MG_270_MONOMER,"lipoyltransferase/lipoate-protein ligase, putative",nascent
279,MG_271_MONOMER,dihydrolipoamide dehydrogenase,nascent
280,MG_272_MONOMER,dihydrolipoamide acetyltransferase,nascent
281,MG_273_MONOMER,"pyruvate dehydrogenase component E1, beta subunit",nascent
282,MG_274_MONOMER,"pyruvate dehydrogenase component E1, alpha subunit",nascent
283,MG_275_MONOMER,NADH oxidase,nascent
284,MG_276_MONOMER,adenine phosphoribosyltransferase,nascent
285,MG_277_MONOMER,Protein-export membrane protein secDF,nascent
286,MG_278_MONOMER,GTP diphosphokinase,nascent
287,MG_279_MONOMER,,nascent
288,MG_280_MONOMER,sensory rhodopsin II transducer motif,nascent
289,MG_281_MONOMER,,nascent
290,MG_282_MONOMER,transcription elongation factor GreA,nascent
291,MG_283_MONOMER,prolyl-tRNA synthetase,nascent
292,MG_284_MONOMER,,nascent
293,MG_285_MONOMER,,nascent
294,MG_286_MONOMER,,nascent
295,MG_287_MONOMER,acyl carrier protein,nascent
296,MG_288_MONOMER,protein L,nascent
297,MG_289_MONOMER,"phosphonate ABC transporter, substrate binding protein (P37), putative",nascent
298,MG_290_MONOMER,"phosphonate ABC transporter, ATP-binding protein, putative",nascent
299,MG_291_MONOMER,"phosphonate ABC transporter, permease protein (P69), putative",nascent
300,MG_505_MONOMER,putative holliday junction resolvase,nascent
301,MG_292_MONOMER,alanyl-tRNA synthetase,nascent
302,MG_293_MONOMER,glycerophosphoryl diester phosphodiesterase,nascent
303,MG_294_MONOMER,major facilitator superfamily (MFS) protein,nascent
304,MG_295_MONOMER,tRNA U34 sulfurtransferase,nascent
305,MG_296_MONOMER,,nascent
306,MG_297_MONOMER,signal recognition particle receptor,nascent
307,MG_298_MONOMER,chromosome segregation protein SMC,nascent
308,MG_299_MONOMER,phosphate acetyltransferase,nascent
309,MG_300_MONOMER,phosphoglycerate kinase,nascent
310,MG_301_MONOMER,"glyceraldehyde-3-phosphate dehydrogenase, type I",nascent
311,MG_302_MONOMER,"metal ion (cobalt) ABC transporter, permease protein, putative",nascent
312,MG_303_MONOMER,"metal ion (cobalt) ABC transporter, ATP-binding protein, putative",nascent
313,MG_304_MONOMER,"metal ion (cobalt) ABC transporter, ATP-binding protein, putative",nascent
314,MG_305_MONOMER,chaperone,nascent
315,MG_306_MONOMER,"membrane protein, putative",nascent
316,MG_307_MONOMER,"lipoprotein, putative",nascent
317,MG_308_MONOMER,ATP-dependent RNA helicase,nascent
318,MG_309_MONOMER,"lipoprotein, putative",nascent
319,MG_310_MONOMER,"hydrolase, Putative esterase/lipase 1",nascent
320,MG_311_MONOMER,ribosomal protein S4,nascent
321,MG_312_MONOMER,high molecular weight cytadherence accessory protein 1,nascent
322,MG_313_MONOMER,"membrane protein, putative",nascent
323,MG_314_MONOMER,,nascent
324,MG_315_MONOMER,"DNA polymerase III, delta subunit, putative",nascent
325,MG_316_MONOMER,DNA internalization-related competence protein ComEC/Rec2,nascent
326,MG_317_MONOMER,high molecular weight cytadherence accessory protein 3,nascent
327,MG_318_MONOMER,P32 adhesin,nascent
328,MG_319_MONOMER,,nascent
329,MG_320_MONOMER,"membrane protein, putative",nascent
330,MG_321_MONOMER,"oligopeptide ABC transporter, substrate binding protein",nascent
331,MG_322_MONOMER,potassium uptake protein,nascent
332,MG_323_MONOMER,potassium uptake protein,nascent
333,MG_515_MONOMER,,nascent
334,MG_324_MONOMER,aminopeptidase,nascent
335,MG_325_MONOMER,ribosomal protein L33,nascent
336,MG_326_MONOMER,degV family protein,nascent
337,MG_327_MONOMER,"hydrolase, Putative esterase/lipase 2",nascent
338,MG_328_MONOMER,coiled coil putative structural protein involved in cytoskeleton,nascent
339,MG_329_MONOMER,GTP-binding protein engA,nascent
340,MG_330_MONOMER,cytidylate kinase,nascent
341,MG_331_MONOMER,,nascent
342,MG_332_MONOMER,,nascent
343,MG_333_MONOMER,"FMN-dependent NADH-azoreductase, putative",nascent
344,MG_334_MONOMER,valyl-tRNA synthetase,nascent
345,MG_335_MONOMER,"GTP-binding protein engB, putative",nascent
346,MG_516_MONOMER,,nascent
347,MG_517_MONOMER,"glycosyl transferase, group 2 family protein",nascent
348,MG_336_MONOMER,cysteine desulfurase,nascent
349,MG_337_MONOMER,,nascent
350,MG_338_MONOMER,"lipoprotein, putative",nascent
351,MG_339_MONOMER,"recombination protein, strand exchange",nascent
352,MG_340_MONOMER,"DNA-directed RNA polymerase, beta subunit",nascent
353,MG_341_MONOMER,"DNA-directed RNA polymerase, beta subunit",nascent
354,MG_342_MONOMER,NADPH-dependent FMN reductase domain protein,nascent
355,MG_343_MONOMER,,nascent
356,MG_344_MONOMER,"hydrolase, Putative esterase/lipase 3",nascent
357,MG_345_MONOMER,isoleucyl-tRNA synthetase,nascent
358,MG_346_MONOMER,23S rRNA methyltransferase; U2552,nascent
359,MG_347_MONOMER,tRNA (guanine-N(7)-)-methyltransferase,nascent
360,MG_348_MONOMER,"lipoprotein, putative",nascent
361,MG_349_MONOMER,Replication initiation/membrane attachment protein,nascent
362,MG_350_MONOMER,,nascent
363,MG_521_MONOMER,"membrane protein, putative",nascent
364,MG_351_MONOMER,inorganic pyrophosphatase,nascent
365,MG_352_MONOMER,Holliday junction endonuclease,nascent
366,MG_353_MONOMER,"DNA-binding protein HU, putative",nascent
367,MG_354_MONOMER,,nascent
368,MG_355_MONOMER,"ATP-dependent Clp protease, ATPase subunit",nascent
369,MG_356_MONOMER,"choline/ethanolamine kinase, putative",nascent
370,MG_357_MONOMER,acetate kinase,nascent
371,MG_358_MONOMER,Holliday junction DNA helicase,nascent
372,MG_359_MONOMER,Holliday junction DNA helicase RuvB,nascent
373,MG_360_MONOMER,ImpB/MucB/SamB family protein,nascent
374,MG_361_MONOMER,ribosomal protein L10,nascent
375,MG_362_MONOMER,ribosomal protein L7/L12,nascent
376,MG_363_MONOMER,ribosomal protein L32,nascent
377,MG_522_MONOMER,ribosomal protein S20,nascent
378,MG_364_MONOMER,Replication initiation/membrane attachment protein,nascent
379,MG_365_MONOMER,methionyl-tRNA formyltransferase,nascent
380,MG_366_MONOMER,,nascent
381,MG_367_MONOMER,ribonuclease III,nascent
382,MG_368_MONOMER,fatty acid/phospholipid synthesis protein PlsX,nascent
383,MG_369_MONOMER,DAK2 phosphatase domain protein,nascent
384,MG_370_MONOMER,"23S rRNA pseudouridine synthase; U1911, U1915, U1917",nascent
385,MG_371_MONOMER,DHH family protein,nascent
386,MG_372_MONOMER,thiamine biosynthesis/tRNA modification protein ThiI,nascent
387,MG_373_MONOMER,,nascent
388,MG_374_MONOMER,,nascent
389,MG_375_MONOMER,threonyl-tRNA synthetase,nascent
390,MG_376_MONOMER,,nascent
391,MG_377_MONOMER,,nascent
392,MG_378_MONOMER,arginyl-tRNA synthetase,nascent
393,MG_379_MONOMER,tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA,nascent
394,MG_380_MONOMER,methyltransferase GidB,nascent
395,MG_381_MONOMER,,nascent
396,MG_382_MONOMER,uridine kinase,nascent
397,MG_383_MONOMER,"NH(3)-dependent NAD+ synthetase, putative",nascent
398,MG_384_MONOMER,GTPase1 Obg,nascent
399,MG_524_MONOMER,,nascent
400,MG_385_MONOMER,glycerophosphoryl diester phosphodiesterase family protein,nascent
401,MG_386_MONOMER,P200 protein,nascent
402,MG_387_MONOMER,GTP-binding protein Era,nascent
403,MG_388_MONOMER,Putative metalloprotease,nascent
404,MG_389_MONOMER,,nascent
405,MG_390_MONOMER,"toxin ABC transporter, ATP-binding/permease protein",nascent
406,MG_391_MONOMER,cytosol aminopeptidase,nascent
407,MG_392_MONOMER,chaperonin,nascent
408,MG_393_MONOMER,"chaperonin, 10 kDa",nascent
409,MG_394_MONOMER,serine hydroxymethyltransferase,nascent
410,MG_395_MONOMER,"lipoprotein, putative",nascent
411,MG_396_MONOMER,ribose 5-phosphate isomerase B,nascent
412,MG_397_MONOMER,,nascent
413,MG_398_MONOMER,"ATP synthase F1, epsilon subunit",nascent
414,MG_399_MONOMER,"ATP synthase F1, beta subunit",nascent
415,MG_400_MONOMER,"ATP synthase F1, gamma subunit",nascent
416,MG_401_MONOMER,"ATP synthase F1, alpha subunit",nascent
417,MG_402_MONOMER,"ATP synthase F1, delta subunit",nascent
418,MG_403_MONOMER,"ATP synthase F0, B subunit",nascent
419,MG_404_MONOMER,"ATP synthase F0, C subunit",nascent
420,MG_405_MONOMER,"ATP synthase F0, A subunit",nascent
421,MG_406_MONOMER,,nascent
422,MG_407_MONOMER,enolase,nascent
423,MG_408_MONOMER,methionine-S-sulfoxide reductase,nascent
424,MG_409_MONOMER,"phosphate transport system regulatory protein PhoU, putative",nascent
425,MG_410_MONOMER,"phosphate ABC transporter, ATP-binding protein",nascent
426,MG_411_MONOMER,"phosphate ABC transporter, permease protein PstA",nascent
427,MG_412_MONOMER,"phosphate ABC transporter, substrate-binding protein",nascent
428,MG_414_MONOMER,,nascent
429,MG_525_MONOMER,,nascent
430,MG_417_MONOMER,ribosomal protein S9,nascent
431,MG_418_MONOMER,ribosomal protein L13,nascent
432,MG_419_MONOMER,"DNA polymerase III, subunit gamma and tau",nascent
433,MG_421_MONOMER,"excinuclease ABC, A subunit",nascent
434,MG_422_MONOMER,,nascent
435,MG_423_MONOMER,metallo-beta-lactamase superfamily protein,nascent
436,MG_424_MONOMER,ribosomal protein S15,nascent
437,MG_425_MONOMER,ATP-dependent RNA helicase,nascent
438,MG_426_MONOMER,ribosomal protein L28,nascent
439,MG_427_MONOMER,osmotically inducible peroxidase,nascent
440,MG_428_MONOMER,"LuxR bacterial regulatory protein, putative",nascent
441,MG_429_MONOMER,"PTS system, E1",nascent
442,MG_430_MONOMER,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",nascent
443,MG_431_MONOMER,triosephosphate isomerase,nascent
444,MG_432_MONOMER,"membrane protein, putative",nascent
445,MG_433_MONOMER,translation elongation factor Ts,nascent
446,MG_434_MONOMER,uridylate kinase,nascent
447,MG_435_MONOMER,ribosome recycling factor,nascent
448,MG_437_MONOMER,phosphatidate cytidylyltransferase,nascent
449,MG_438_MONOMER,type I restriction modification DNA specificity domain protein,nascent
450,MG_439_MONOMER,"lipoprotein, putative",nascent
451,MG_440_MONOMER,"lipoprotein, putative",nascent
452,MG_441_MONOMER,,nascent
453,MG_442_MONOMER,ribosomal biogenesis GTPase,nascent
454,MG_443_MONOMER,"membrane protein, putative",nascent
455,MG_444_MONOMER,ribosomal protein L19,nascent
456,MG_445_MONOMER,tRNA (guanine-N1)-methyltransferase,nascent
457,MG_446_MONOMER,ribosomal protein S16,nascent
458,MG_447_MONOMER,multidrug efflux pump,nascent
459,MG_448_MONOMER,methionine-R-sulfoxide reductase,nascent
460,MG_449_MONOMER,"conserved hypothetical protein, authentic frameshift",nascent
